,name,description,category
439,Recruitment guru Paul Atkinson buys Glasgow¡¯s Change,"Recruitment industry veteran and serial angel investor Paul Atkinson has acquired Glasgow-based Change Recruitment for an undisclosed sum. The deal will see all staff retained at Change as it becomes part of Atkinson¡¯s Head Group, which also owns Head ...",ScienceAndTechnology
23,"Today's Market View - Landore Resources Ltd., W Resources PLC",The US$ index is trading at the lowest level in six months supporting the price of gold on concerns Trump led economic reforms might be delayed amid the growing discontent with the President in Washington. ? Brent prices are off for a second day on the ...,Business
401,Apple's Italian job for finding top talent,"Computer giant Apple is expanding its supply line of talented young people with digital skills, by doubling the intake of its European academy. Last year, the technology company opened an academy in Naples, in Italy, where students spend a year training to ...",ScienceAndTechnology
366,General election: Make sure you're registered,"On June 8, voters across the UK will head to the polls ? but some may be disappointed to learn they aren¡¯t on the voter register and will not have a say in the outcome of the election. The announcement of an early election took many by surprise and ...",Politics
488,"Reggaeton, the right suit and no Nutella: Inside Chelsea's Premier League title win",Antonio Conte revitalised Chelsea and took them back to the top Getty By the time the Chelsea plane got back to London after the title-clinching 1-0 win at West Brom - and after David Luiz and Diego Costa had literally dragged Antonio Conte away from his ...,Sports
209,Vascular dementia WARNING signs: You should never ignore these nine symptoms,"Vascular dementia is triggered by reduced blood flow to the brain, which damages and eventually kills the brain cells. The debilitating condition tends to affect those over the age of 65. There are a number of reasons why it happens, including a narrowing ...",Health
630,This former hunting dog is in the running for being named Best Rescue Dog,"She used to be a hunting dog until she was forced to quit. At just 10-months-old, she collapsed and suffered a seizure from gun noise-induced stress. Outsider Gallery is breaking down the stigma around mental health through art and music Now, however ...",UK
672,DEREK LEVERS: Family's thanks to Ilkeston community after pensioner dies following altercation,"The family of a pensioner who died after an altercation at his Ilkeston home have thanked the community for their support. Derek Levers, 86, collapsed after the incident on Station Road on Sunday and sadly died on Monday morning. Tributes have since been ...",UK
530,Valtteri Bottas: It was my job to hold up Vettel in F1 Spanish GP,Valtteri Bottas insists it was his 'job' and 'duty' to hold Sebastian Vettel up in the middle of the Spanish Grand Prix to help Mercedes Formula 1 team-mate Lewis Hamilton. Bottas played a key role in the outcome of the Barcelona event as early race leader ...,Sports
195,"Magic mushrooms chemical could help people with depression, says leading psychiatrist",Scientists are researching how psychoactive drugs could be used to treat mental illness in what is being hailed the psychedelic renaissance A chemical in magic mushrooms could be used to treat people with depression who don¡¯t respond to prescription ...,Health
372,"When is the 2017 General Election, what are the latest polls saying and are the Conservatives likely to win?",THERESA May¡¯s Conservative Party is riding high in the polls ahead of June¡¯s General Election. The Tories look set for a landslide victory after making huge gains up and down the land in the local elections. As the battle for Number 10 enters its final ...,Politics
417,Gulru Atak takes over as Innovation Head at Citi¡¯s Dublin lab,"Citi has appointed Gulru Atak as Treasury and Trade Solutions (TTS) Dublin Lab and Innovation Head. Reporting to Ebru Pakcan, EMEA Head TTS, Gulru will head up the Innovation Lab in Dublin, as well as leading and growing the innovation programme for Citi ...",ScienceAndTechnology
239,Monklands couple postpone wedding as groom-to-be given life-saving kidney transplant on eve of marriage,"Craig Ferguson should have been resting in bed, dreaming about his upcoming nuptials and tinkering with his speech. But the Plains dad-of-two was stirred from his sleep just two days before he was due to marry fianc?e Christina Ferguson by a call from ...",Health
90,Cumbrian nuclear connection project on hold,"National Grid has put its work connecting Cumbria's proposed nuclear new build to the electricity network on hold. This news comes after NuGen - the company with plans for a power station at Moorside, near Sellafield - announced a review into the project.",Business
303,Labour tones down abortion pledge for Northern Ireland,"The Labour Party has watered down pledges to legalise abortion in Northern Ireland since its draft manifesto was leaked last week. The finalised document, launched yesterday, now pledges to ""work with"" the Stormont Assembly on the issue. In a draft ...",Politics
477,"London student tells of shock after being given ?9,000 towards Harvard course by grime star Stormzy","A student heading to Harvard thanks to a ?9,000 donation from musician Stormzy today told of her shock at receiving the hefty sum from the London grime star. Final-year Oxford student Fiona Asiedu, 21, was facing a ?60,000 bill to pursue a Masters ...",ScienceAndTechnology
616,19-year-old from Beccles arrested as police seize three quad bikes following calls from residents,"Officers received reports of off-road motorbikes and quad-bikes being ridden in an anti-social manner in the George Westwood Way, Cucumber Lane, Banham Road and Rigbourne Hill areas and up to Ellough. The bikes were reported to have been ridden at excess ...",UK
324,Western Australian Liberals Are Pushing Turnbull To Allow Shark Culling,"We know that state politics by-and-large is populated by nutbags on a scale that even Federal Parliament can't handle, but even by that standard this is... rather insane. The WA Liberals have passed a series of motions it would like debated as the state ...",Politics
